rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
25,52.3,196.9,12.1,31,79.0,128.5,0.0,6,230.2,361.2,30.5
23,74.9,196.7,12.4,15,92.6,126.4,0.0,6,208.2,361.2,30.5
21,73.5,196.1,12.0,15,94.2,126.4,0.3,6,184.0,361.2,30.5
21,61.5,196.1,12.0,19,98.6,128.7,0.5,6,153.5,361.2,30.5
17,54.4,197.3,10.9,23,101.2,127.8,0.7,6,146.4,361.2,30.5
16,47.0,196.4,10.2,35,94.7,129.3,0.9,6,120.6,361.2,30.5
12,72.7,198.9,10.5,52,89.8,128.6,0.9,6,97.0,361.2,30.5
10,110.8,198.3,9.8,74,88.9,129.3,1.0,6,66.5,361.2,30.5
11,129.9,199.0,9.4,92,91.3,128.8,0.8,4,55.5,359.8,28.2
16,93.5,197.7,9.0,106,94.1,128.6,0.9,4,27.2,359.8,28.2
16,114.1,197.9,9.0,112,99.4,128.5,1.0,3,19.8,355.3,29.0
16,134.4,197.9,9.0,122,104.6,128.3,1.0,1,12.3,350.0,35.0
19,119.0,198.7,8.5,147,104.0,128.5,1.2,0,,,
