rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
63,78.0,126.4,7.4,1,107.0,138.0,0.0,2,319.0,652.0,29.5
64,71.5,126.6,7.3,0,,,,2,315.2,652.0,29.5
62,63.6,126.7,7.4,1,99.0,139.0,0.0,2,356.8,652.0,29.5
61,58.1,126.9,7.3,2,92.5,128.0,0.0,2,327.2,652.0,29.5
57,54.3,126.9,7.3,4,94.8,132.2,0.0,2,350.8,652.0,29.5
54,51.8,126.6,6.9,8,89.0,133.1,0.0,2,347.0,652.0,29.5
49,57.6,126.4,6.5,13,90.7,128.9,0.0,2,333.8,652.0,29.5
49,57.9,126.3,6.5,15,92.3,127.3,0.0,2,327.8,652.0,29.5
46,61.7,126.1,6.4,21,87.9,126.7,0.5,2,352.4,652.0,29.5
43,67.0,126.2,6.0,26,85.7,126.7,0.8,2,333.3,652.0,29.5
45,69.3,125.3,6.0,27,98.2,129.3,0.7,2,329.5,652.0,29.5
48,74.0,125.1,6.0,35,93.8,130.2,0.3,2,300.0,652.0,29.5
53,74.8,124.5,6.3,36,98.2,130.0,0.4,2,270.5,652.0,29.5
53,78.7,125.5,6.2,34,95.7,129.5,1.1,2,333.6,652.0,29.5
58,80.3,126.0,6.1,37,90.0,127.3,1.5,2,328.9,652.0,29.5
63,78.4,126.9,6.2,36,95.5,126.7,1.4,2,368.5,652.0,29.5
67,80.8,126.5,6.5,36,98.0,130.3,1.3,2,366.3,652.0,29.5
70,82.5,126.8,6.3,38,99.2,129.8,1.3,2,378.4,652.0,29.5
71,80.6,126.4,6.4,40,97.3,131.2,1.9,2,439.7,652.0,29.5
73,79.3,126.8,6.3,40,100.3,130.7,1.9,2,479.7,652.0,29.5
78,74.9,127.0,6.2,44,93.1,129.9,2.3,3,350.0,652.8,28.3
78,77.2,126.8,6.2,46,93.4,131.4,2.1,3,378.9,652.8,28.3
81,71.9,126.5,6.1,50,99.8,131.4,2.1,3,407.4,652.8,28.3
81,80.3,126.8,6.1,46,96.5,130.2,2.6,3,422.3,652.8,28.3
86,76.1,126.7,6.1,55,93.6,129.8,2.6,3,423.6,652.8,28.3
91,74.3,127.0,6.1,48,100.1,130.4,2.5,3,448.6,652.8,28.3
94,73.3,127.6,6.3,49,97.6,131.3,2.8,4,379.4,651.9,29.5
97,74.6,127.7,6.3,44,97.4,131.1,2.9,4,420.4,651.9,29.5
101,75.5,127.4,6.5,34,100.8,132.1,3.8,4,440.7,651.9,29.5
105,72.5,127.9,6.4,45,101.2,132.8,2.9,4,446.5,651.9,29.5
110,73.7,128.2,6.5,39,101.8,133.0,3.5,4,431.2,651.9,29.5
123,69.6,128.9,6.3,32,104.1,132.1,3.6,4,420.2,651.9,29.5
126,71.4,129.4,6.3,22,100.6,133.4,3.1,4,405.4,651.9,29.5
126,72.1,130.3,6.0,20,93.0,130.5,1.3,4,402.9,651.9,29.5
129,69.9,130.4,6.0,18,82.6,132.6,1.0,5,319.3,652.2,28.7
129,69.9,131.0,5.9,18,83.7,129.6,0.6,5,325.1,652.2,28.7
133,70.4,131.4,5.8,14,83.9,130.0,0.7,5,312.2,652.2,28.7
126,70.1,131.3,5.7,9,90.9,132.3,0.6,5,345.3,652.2,28.7
126,68.4,131.7,5.6,8,89.5,129.2,0.0,5,350.8,652.2,28.7
128,67.6,131.9,5.6,9,98.9,132.0,0.0,6,310.3,652.0,29.4
128,64.6,131.9,5.6,9,108.7,134.7,0.0,6,302.7,652.0,29.4
129,65.8,131.9,5.6,14,88.5,133.5,0.4,5,345.2,651.5,30.1
126,65.9,132.3,5.5,10,86.1,132.7,0.5,5,366.9,651.5,30.1
126,62.2,132.5,5.5,12,87.4,134.2,0.8,5,370.4,651.5,30.1
122,61.8,132.4,5.5,13,102.9,132.5,0.8,5,399.7,651.5,30.1
120,61.1,132.8,5.5,18,93.2,134.8,0.8,5,386.4,651.5,30.1
120,61.2,133.1,5.5,18,96.1,131.4,0.8,5,381.1,651.5,30.1
