wolfCount,wolfEnergy,wolfRepro,wolfFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue
7,441.1,951.7,16.0,18,76.6,131.7,0.0,40,86.6,196.4,9.8
7,469.9,951.7,16.0,8,88.6,129.0,0.0,34,87.9,195.4,9.8
7,499.3,951.7,16.0,7,94.9,128.7,0.0,29,77.4,196.9,9.5
7,519.2,951.7,16.0,7,101.0,126.1,0.0,24,68.6,195.8,9.6
7,515.9,951.7,16.0,7,99.6,124.4,0.0,21,70.3,195.4,9.1
7,508.3,951.7,16.0,14,84.1,126.1,0.4,20,64.1,194.8,8.5
7,498.8,951.7,16.0,22,77.4,126.5,0.7,18,70.2,194.4,8.1
7,482.8,951.7,16.0,24,85.9,127.6,0.4,16,84.7,195.6,7.5
7,466.8,951.7,16.0,25,96.6,125.9,0.4,16,103.5,194.4,7.3
7,479.9,951.7,16.0,26,98.4,127.4,0.6,14,110.6,194.5,6.8
7,496.8,951.7,16.0,29,91.1,127.0,0.7,11,144.4,195.7,6.5
7,489.4,951.7,16.0,40,93.5,127.4,0.8,12,133.8,195.8,6.8
7,486.8,951.7,16.0,48,94.2,126.1,0.9,13,109.5,197.2,6.8
7,504.1,951.7,16.0,51,94.8,126.0,1.2,12,104.7,194.8,6.8
7,503.0,951.7,16.0,59,93.5,125.3,1.4,11,119.0,194.4,7.0
7,487.0,951.7,16.0,61,94.1,124.6,1.5,12,136.8,193.3,6.8
7,475.8,951.7,16.0,72,92.0,125.6,1.6,13,131.4,194.1,6.6
8,405.6,952.7,16.1,82,94.1,125.2,1.7,14,124.8,192.0,6.4
8,389.5,952.7,16.1,91,94.4,125.7,1.8,15,134.9,191.0,6.0
8,373.5,952.7,16.1,103,92.6,125.9,2.0,18,122.5,191.0,5.9
8,357.4,952.7,16.1,113,93.1,125.6,2.1,21,114.1,191.6,5.8
8,346.0,952.7,16.1,120,94.2,125.9,2.3,24,114.3,190.7,5.7
8,361.2,952.7,16.1,125,97.7,125.6,2.5,24,105.1,191.6,5.9
8,372.8,952.7,16.1,134,96.5,126.0,2.5,23,122.4,190.6,5.7
8,363.7,952.7,16.1,138,95.5,125.4,2.6,27,129.7,190.5,5.7
8,355.8,952.7,16.1,150,98.1,125.3,2.7,33,110.4,191.7,5.7
8,373.2,952.7,16.1,148,96.9,125.7,2.9,35,119.1,192.5,5.7
8,370.4,952.7,16.1,140,97.3,125.9,3.1,41,124.4,192.2,5.8
8,408.8,952.7,16.1,134,97.8,126.2,3.2,44,118.9,192.9,5.7
8,406.2,952.7,16.1,125,101.9,126.6,3.2,50,122.1,192.5,5.7
8,436.9,952.7,16.1,128,100.9,127.0,3.3,50,120.5,193.0,5.6
8,428.1,952.7,16.1,135,99.6,126.4,3.4,54,118.1,193.4,5.7
8,422.3,952.7,16.1,128,104.2,126.5,3.5,61,110.1,194.2,5.7
8,459.6,952.7,16.1,115,108.2,127.0,3.6,57,122.7,194.1,5.7
7,539.8,952.0,15.6,116,110.2,127.1,3.6,59,115.0,194.9,5.7
7,553.1,952.0,15.6,113,111.0,127.6,3.5,61,115.4,195.6,5.7
7,562.2,952.0,15.6,110,115.1,128.2,3.4,64,111.7,195.6,5.7
8,507.1,952.9,15.8,113,116.0,129.1,3.4,66,102.3,195.7,5.7
9,437.6,953.4,15.1,107,120.2,128.8,3.6,66,109.1,195.5,5.7
9,432.0,953.4,15.1,116,120.3,128.9,3.2,67,103.7,195.6,5.6
9,441.9,953.4,15.1,115,115.9,129.0,3.4,65,111.1,195.3,5.7
9,472.8,953.4,15.1,127,110.5,128.3,3.4,64,103.0,194.7,5.6
9,467.6,953.4,15.1,122,108.2,128.6,3.7,68,107.6,194.4,5.7
9,463.5,953.4,15.1,116,109.9,128.4,3.7,72,106.4,193.0,5.6
9,463.4,953.4,15.1,110,107.3,128.4,3.4,79,102.5,192.1,5.6
9,458.4,953.4,15.1,97,106.1,127.5,3.4,85,105.7,191.1,5.6
9,449.7,953.4,15.1,77,108.8,127.5,3.1,94,104.0,190.4,5.6
9,439.2,953.4,15.1,64,101.4,129.3,2.4,106,99.4,189.7,5.6
9,450.8,953.4,15.1,49,98.9,128.3,2.2,118,89.2,189.4,5.6
9,489.9,953.4,15.1,40,92.5,128.9,2.0,115,89.6,189.4,5.6
9,502.6,953.4,15.1,33,94.7,129.3,1.5,113,88.3,189.6,5.6
9,508.5,953.4,15.1,32,94.2,129.4,1.4,114,82.0,189.2,5.6
9,530.1,953.4,15.1,33,84.9,128.1,1.7,110,80.9,189.5,5.5
9,550.7,953.4,15.1,32,92.1,128.3,1.6,104,79.6,189.1,5.5
9,554.4,953.4,15.1,29,91.4,128.0,1.6,103,79.1,188.9,5.5
9,549.3,953.4,15.1,22,99.4,129.0,1.4,104,76.9,188.9,5.5
9,577.1,953.4,15.1,14,90.7,129.3,0.7,99,76.8,188.4,5.5
9,593.9,953.4,15.1,11,90.2,133.3,0.5,92,76.2,188.6,5.5
9,590.9,953.4,15.1,13,93.4,129.9,0.4,86,77.1,188.1,5.5
9,613.6,953.4,15.1,16,100.5,130.9,0.3,80,74.6,188.2,5.4
9,605.3,953.4,15.1,18,96.7,133.7,0.6,76,77.3,188.5,5.4
9,590.2,953.4,15.1,18,93.8,134.2,1.1,77,76.0,188.9,5.4
9,602.6,953.4,15.1,20,95.5,134.0,0.5,71,76.0,188.5,5.4
9,613.1,953.4,15.1,23,97.3,132.9,0.7,67,73.4,188.4,5.4
11,486.9,954.4,14.7,25,99.6,133.6,0.8,64,74.8,188.4,5.5
11,500.6,954.4,14.7,29,96.9,132.2,0.9,60,68.8,187.7,5.5
11,499.5,954.4,14.7,39,95.6,131.0,1.0,52,74.6,188.2,5.5
11,500.2,954.4,14.7,43,97.0,131.8,0.9,50,70.6,187.7,5.6
11,505.5,954.4,14.7,34,102.8,133.9,1.2,45,83.7,187.9,5.6
11,502.0,954.4,14.7,48,94.0,133.1,1.4,46,73.3,187.4,5.6
11,511.4,954.4,14.7,48,96.6,131.7,1.6,40,77.8,187.4,5.7
11,509.7,954.4,14.7,54,96.6,130.7,1.5,37,81.3,188.1,5.7
11,508.6,954.4,14.7,60,100.6,131.1,1.2,37,74.1,187.6,5.9
11,499.3,954.4,14.7,55,103.7,131.1,1.7,38,81.9,186.7,5.9
11,522.0,954.4,14.7,65,97.3,131.7,1.8,32,80.7,188.3,5.9
11,523.1,954.4,14.7,71,100.0,131.1,1.8,31,77.4,187.4,6.0
11,524.4,954.4,14.7,80,100.2,132.0,2.1,28,82.1,187.5,6.0
11,509.6,954.4,14.7,88,101.2,132.4,2.2,31,80.7,185.5,6.1
11,500.7,954.4,14.7,90,99.2,132.6,2.3,28,107.0,185.9,6.2
11,507.6,954.4,14.7,95,101.0,132.3,2.4,30,90.2,185.9,6.2
11,500.5,954.4,14.7,102,101.6,132.4,2.5,31,90.4,185.4,6.2
11,495.0,954.4,14.7,101,103.5,132.5,2.5,31,107.7,184.5,6.2
11,510.1,954.4,14.7,110,100.9,132.3,2.6,32,95.5,184.5,6.2
11,518.5,954.4,14.7,116,97.4,132.1,2.7,30,109.5,184.3,6.3
10,565.1,953.9,14.5,114,103.3,131.8,2.8,34,104.4,182.7,6.3
11,525.4,954.5,14.7,126,97.6,132.4,3.0,34,96.0,185.2,6.3
11,520.0,954.5,14.7,121,101.4,131.8,3.0,35,103.9,185.3,6.3
11,508.1,954.5,14.7,124,98.0,130.7,2.9,42,102.6,186.1,6.2
11,493.5,954.5,14.7,118,99.8,130.7,2.8,46,116.1,186.5,6.1
11,488.0,954.5,14.7,120,101.7,130.3,2.8,53,105.4,186.1,6.1
11,479.3,954.5,14.7,116,102.0,129.4,3.0,57,109.6,185.8,6.1
11,473.5,954.5,14.7,106,102.0,129.3,3.0,62,115.8,186.1,6.2
11,474.2,954.5,14.7,102,107.4,129.9,3.0,70,100.8,184.8,6.2
11,470.6,954.5,14.7,99,105.4,128.8,3.1,75,99.1,184.5,6.2
11,479.3,954.5,14.7,97,108.1,129.0,3.0,74,100.5,184.2,6.2
11,494.3,954.5,14.7,94,111.9,128.9,3.2,72,100.6,184.1,6.2
11,499.6,954.5,14.7,109,106.8,128.9,3.2,75,88.3,184.0,6.2
11,494.8,954.5,14.7,100,107.7,128.6,3.4,72,102.5,184.1,6.2
11,504.9,954.5,14.7,97,106.7,128.5,3.5,72,102.4,184.1,6.1
11,511.9,954.5,14.7,94,103.1,128.5,3.4,77,100.9,184.1,6.1
11,513.3,954.5,14.7,77,100.2,130.7,3.4,83,105.0,183.8,6.0
11,507.4,954.5,14.7,68,99.9,129.9,3.5,95,94.9,184.3,6.0
11,529.3,954.5,14.7,50,100.9,129.2,2.9,94,100.1,184.4,6.0
12,500.1,954.6,14.3,47,102.1,130.7,3.0,93,95.7,184.7,5.9
12,512.6,954.6,14.3,39,101.6,130.9,3.0,92,95.4,184.5,6.0
12,508.2,954.6,14.3,31,98.8,131.1,2.6,97,90.9,185.3,6.0
12,519.9,954.6,14.3,19,92.0,129.9,1.3,95,95.0,185.6,6.0
12,520.4,954.6,14.3,21,92.2,129.3,1.2,97,87.9,186.0,5.9
12,527.5,954.6,14.3,16,97.2,131.6,0.6,93,88.7,186.0,5.9
12,524.7,954.6,14.3,21,91.3,129.5,0.7,88,89.8,186.3,5.9
12,519.2,954.6,14.3,21,93.4,129.2,0.5,88,86.0,186.3,5.9
12,508.8,954.6,14.3,17,100.4,129.9,0.6,88,85.7,186.4,5.9
