rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
23,25.4,333.1,6.5,122,80.0,129.2,0.0,1,268.0,673.0,5.0
22,95.4,332.9,6.5,88,88.6,128.9,0.1,1,263.0,673.0,5.0
21,159.4,332.0,6.6,65,96.9,127.1,0.2,1,258.0,673.0,5.0
20,206.6,331.4,6.6,51,98.2,126.5,0.7,1,365.5,673.0,5.0
23,159.3,331.7,7.0,61,97.4,127.6,0.8,1,469.0,673.0,5.0
24,169.6,332.1,6.9,71,95.7,128.8,1.1,1,464.0,673.0,5.0
26,174.6,332.3,6.9,85,92.9,128.2,1.1,1,459.0,673.0,5.0
27,189.3,331.8,6.8,98,93.6,128.0,1.1,1,454.0,673.0,5.0
28,198.1,331.5,7.0,117,95.4,128.4,1.0,1,449.0,673.0,5.0
31,180.4,331.5,6.9,133,96.2,128.4,1.1,1,444.0,673.0,5.0
34,180.5,331.8,6.9,144,97.3,128.7,1.2,1,439.0,673.0,5.0
38,175.2,331.2,6.8,154,98.4,128.4,1.4,1,434.0,673.0,5.0
40,198.2,331.2,6.9,165,99.6,129.6,1.5,1,429.0,673.0,5.0
43,212.4,331.3,7.1,159,100.1,128.8,1.8,1,424.0,673.0,5.0
50,184.9,331.3,6.9,174,100.3,129.4,1.7,1,419.0,673.0,5.0
58,163.4,331.6,7.1,180,101.7,129.4,2.0,1,414.0,673.0,5.0
61,189.3,331.1,7.0,165,100.5,129.5,2.0,1,409.0,673.0,5.0
66,193.3,331.1,7.2,163,101.7,129.2,2.0,1,404.0,673.0,5.0
73,177.0,330.7,7.2,168,99.9,128.9,2.2,1,532.1,673.0,5.0
78,174.7,330.6,7.2,171,101.1,128.5,2.2,1,527.1,673.0,5.0
84,178.0,331.1,7.3,152,102.5,127.5,2.3,1,604.9,673.0,5.0
92,171.7,330.9,7.3,136,100.3,126.5,2.4,1,722.4,673.0,5.0
100,166.2,331.1,7.3,124,98.7,125.7,2.5,2,315.9,672.9,5.1
104,166.4,331.0,7.2,119,92.1,125.0,2.3,2,416.4,672.9,5.1
104,177.5,331.3,7.2,101,90.6,124.7,2.4,2,490.6,672.9,5.1
110,167.2,331.3,7.2,96,91.7,126.0,2.2,3,364.8,672.3,5.3
116,159.9,331.4,7.2,87,96.2,124.7,2.0,3,359.6,672.3,5.3
119,160.5,331.5,7.2,80,94.0,124.1,2.3,3,354.3,672.3,5.3
125,152.5,331.3,7.1,79,93.3,124.4,2.3,3,349.0,672.3,5.3
125,157.9,331.4,7.2,72,94.8,126.7,1.9,3,388.5,672.3,5.3
126,158.8,331.2,7.1,58,91.9,127.0,1.7,3,425.6,672.3,5.3
126,159.7,331.3,7.1,42,91.8,127.5,2.2,3,496.2,672.3,5.3
129,156.2,331.1,7.1,45,91.8,127.7,1.9,3,492.5,672.3,5.3
130,154.0,331.1,7.1,34,96.4,128.7,1.6,4,381.3,672.7,5.3
126,155.2,331.2,7.0,42,88.0,127.7,1.4,4,438.8,672.7,5.3
123,159.1,331.1,7.0,41,85.1,129.7,1.4,4,484.3,672.7,5.3
121,165.6,331.2,6.9,30,85.8,129.1,1.0,5,400.1,672.3,5.2
